objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_rewards,objective/training/total_rewards_std,objective/training/completion_length,objective/training/completion_length_std,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/total_loss,training/pg_loss,training/kl_loss,training/kl,training/kl_std,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.9140625,0.28125,-0.0029296875,0.0380859375,0.91015625,0.283203125,320.0,77.5,78.0,11264.0,0.8984375,0.033935546875,0.03369140625,8.487701416015625e-05,0.00848388671875,0.00469970703125,78.5,88.0,0.0,9.760260581970215e-07,181.0,11
0.87890625,0.326171875,-0.015625,0.0869140625,0.86328125,0.3359375,350.0,97.0,80.0,12288.0,0.8984375,-0.005096435546875,-0.005157470703125,7.486343383789062e-05,0.007476806640625,0.006561279296875,80.0,96.0,0.0,9.909272193908691e-07,182.0,12
0.875,0.330078125,-0.01708984375,0.0908203125,0.859375,0.345703125,358.0,95.5,84.0,13312.0,0.8984375,-0.00909423828125,-0.00921630859375,9.72747802734375e-05,0.009765625,0.0068359375,80.5,104.0,0.0,9.98377799987793e-07,181.0,13
0.88671875,0.31640625,-0.00048828125,0.015625,0.88671875,0.318359375,342.0,91.5,83.0,14336.0,0.8984375,0.00982666015625,0.00970458984375,0.00013446807861328125,0.01348876953125,0.00787353515625,77.0,112.0,0.0,9.98377799987793e-07,171.0,14
0.9453125,0.2236328125,0.0,0.0,0.9453125,0.2236328125,352.0,93.5,80.5,15360.0,0.8984375,0.0294189453125,0.0291748046875,0.00012874603271484375,0.01287841796875,0.0057373046875,78.0,120.0,0.0,9.98377799987793e-07,171.0,15
0.953125,0.2138671875,-0.0068359375,0.05810546875,0.9453125,0.2470703125,372.0,118.5,84.0,16384.0,0.8984375,-0.01129150390625,-0.01141357421875,0.00015735626220703125,0.0157470703125,0.01141357421875,80.5,128.0,0.0,9.98377799987793e-07,185.0,16
0.9375,0.24609375,-0.00390625,0.0439453125,0.9296875,0.25,372.0,108.5,88.0,17408.0,0.8984375,0.0115966796875,0.011474609375,0.0001544952392578125,0.01544189453125,0.0057373046875,80.5,136.0,0.0,9.98377799987793e-07,178.0,17
0.94921875,0.2177734375,-0.00146484375,0.0269775390625,0.94921875,0.21875,392.0,86.5,92.0,18432.0,0.89453125,0.0026092529296875,0.00244140625,0.0001678466796875,0.016845703125,0.00537109375,78.0,144.0,0.0,9.98377799987793e-07,179.0,18
0.9609375,0.19140625,-0.0009765625,0.0220947265625,0.9609375,0.1953125,394.0,80.5,94.5,19456.0,0.89453125,-0.01611328125,-0.016357421875,0.00017642974853515625,0.017578125,0.006134033203125,83.0,152.0,0.0,9.98377799987793e-07,192.0,19
0.9765625,0.1513671875,-0.0009765625,0.0220947265625,0.9765625,0.15234375,412.0,85.0,92.5,20480.0,0.89453125,0.0311279296875,0.0308837890625,0.00018310546875,0.018310546875,0.00982666015625,85.5,160.0,0.0,9.98377799987793e-07,191.0,20
